# cfl 0.0707107 dx 0.1 dy 0.1 dt 0.005
# q0 3 10 10 1
-1 -1 1
-1 0 1
-1 1 1
-1 2 1
-1 3 1
-1 4 1
-1 5 1
-1 6 1
-1 7 1
-1 8 1
-1 9 1
-1 10 1
0 -1 1
0 0 1
0 1 1
0 2 1
0 3 2
0 4 2
0 5 2
0 6 2
0 7 1
0 8 1
0 9 1
0 10 1
1 -1 1
1 0 1
1 1 2
1 2 2
1 3 2
1 4 2
1 5 2
1 6 2
1 7 2
1 8 2
1 9 1
1 10 1
2 -1 1
2 0 1
2 1 2
2 2 2
2 3 2
2 4 2
2 5 2
2 6 2
2 7 2
2 8 2
2 9 1
2 10 1
3 -1 1
3 0 2
3 1 2
3 2 2
3 3 2
3 4 2
3 5 2
3 6 2
3 7 2
3 8 2
3 9 2
3 10 1
4 -1 1
4 0 2
4 1 2
4 2 2
4 3 2
4 4 2
4 5 2
4 6 2
4 7 2
4 8 2
4 9 2
4 10 1
5 -1 1
5 0 2
5 1 2
5 2 2
5 3 2
5 4 2
5 5 2
5 6 2
5 7 2
5 8 2
5 9 2
5 10 1
6 -1 1
6 0 2
6 1 2
6 2 2
6 3 2
6 4 2
6 5 2
6 6 2
6 7 2
6 8 2
6 9 2
6 10 1
7 -1 1
7 0 1
7 1 2
7 2 2
7 3 2
7 4 2
7 5 2
7 6 2
7 7 2
7 8 2
7 9 1
7 10 1
8 -1 1
8 0 1
8 1 2
8 2 2
8 3 2
8 4 2
8 5 2
8 6 2
8 7 2
8 8 2
8 9 1
8 10 1
9 -1 1
9 0 1
9 1 1
9 2 1
9 3 2
9 4 2
9 5 2
9 6 2
9 7 1
9 8 1
9 9 1
9 10 1
10 -1 1
10 0 1
10 1 1
10 2 1
10 3 1
10 4 1
10 5 1
10 6 1
10 7 1
10 8 1
10 9 1
10 10 1


# cfl 0.0709137 dx 0.1 dy 0.1 dt 0.005
# q0 3 10 10 1
-1 -1 1
-1 0 1
-1 1 1
-1 2 1
-1 3 1.03062
-1 4 1.03062
-1 5 1.03062
-1 6 1.03062
-1 7 1
-1 8 1
-1 9 1
-1 10 1
0 -1 1
0 0 1
0 1 1.03062
0 2 1.06124
0 3 1.93876
0 4 1.96938
0 5 1.96938
0 6 1.93876
0 7 1.06124
0 8 1.03062
0 9 1
0 10 1
1 -1 1
1 0 1.03062
1 1 1.93876
1 2 1.96938
1 3 2
1 4 2
1 5 2
1 6 2
1 7 1.96938
1 8 1.93876
1 9 1.03062
1 10 1
2 -1 1
2 0 1.06124
2 1 1.96938
2 2 2
2 3 2
2 4 2
2 5 2
2 6 2
2 7 2
2 8 1.96938
2 9 1.06124
2 10 1
3 -1 1.03062
3 0 1.93876
3 1 2
3 2 2
3 3 2
3 4 2
3 5 2
3 6 2
3 7 2
3 8 2
3 9 1.93876
3 10 1.03062
4 -1 1.03062
4 0 1.96938
4 1 2
4 2 2
4 3 2
4 4 2
4 5 2
4 6 2
4 7 2
4 8 2
4 9 1.96938
4 10 1.03062
5 -1 1.03062
5 0 1.96938
5 1 2
5 2 2
5 3 2
5 4 2
5 5 2
5 6 2
5 7 2
5 8 2
5 9 1.96938
5 10 1.03062
6 -1 1.03062
6 0 1.93876
6 1 2
6 2 2
6 3 2
6 4 2
6 5 2
6 6 2
6 7 2
6 8 2
6 9 1.93876
6 10 1.03062
7 -1 1
7 0 1.06124
7 1 1.96938
7 2 2
7 3 2
7 4 2
7 5 2
7 6 2
7 7 2
7 8 1.96938
7 9 1.06124
7 10 1
8 -1 1
8 0 1.03062
8 1 1.93876
8 2 1.96938
8 3 2
8 4 2
8 5 2
8 6 2
8 7 1.96938
8 8 1.93876
8 9 1.03062
8 10 1
9 -1 1
9 0 1
9 1 1.03062
9 2 1.06124
9 3 1.93876
9 4 1.96938
9 5 1.96938
9 6 1.93876
9 7 1.06124
9 8 1.03062
9 9 1
9 10 1
10 -1 1
10 0 1
10 1 1
10 2 1
10 3 1.03062
10 4 1.03062
10 5 1.03062
10 6 1.03062
10 7 1
10 8 1
10 9 1
10 10 1


